GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TiKV Java Client,default,MySqlParser.LogicalOperatorContext,40,0,0,0,8,0,8,0,8,0
TiKV Java Client,default,MySqlParser.ExpressionsContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.PredicateExpressionContext,25,0,0,0,5,0,5,0,5,0
TiKV Java Client,default,MySqlParserListener,5,0,0,0,1,0,1,0,1,0
TiKV Java Client,default,MySqlParser.CharFunctionCallContext,40,0,0,0,8,0,8,0,8,0
TiKV Java Client,default,MySqlParser.BinaryComparisonPredicateContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.UnaryOperatorContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.IntervalTypeContext,90,0,0,0,18,0,18,0,18,0
TiKV Java Client,default,MySqlParser.BooleanLiteralContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.LengthTwoDimensionContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.DataTypeBaseContext,60,0,0,0,12,0,12,0,12,0
TiKV Java Client,default,MySqlParser.ExpressionAtomPredicateContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParserVisitor,5,0,0,0,1,0,1,0,1,0
TiKV Java Client,default,MySqlParser.RegexpPredicateContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.IsNullPredicateContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.SubstrFunctionCallContext,65,0,0,0,13,0,13,0,13,0
TiKV Java Client,default,MySqlParser.BitOperatorContext,25,0,0,0,5,0,5,0,5,0
TiKV Java Client,default,MySqlParser.ComparisonOperatorContext,25,0,0,0,5,0,5,0,5,0
TiKV Java Client,default,MySqlParserBaseVisitor,370,0,0,0,74,0,74,0,74,0
TiKV Java Client,default,MySqlParser.BinaryExpressionAtomContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.SimpleFunctionCallContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.ConstantExpressionAtomContext,25,0,0,0,5,0,5,0,5,0
TiKV Java Client,default,MySqlParser.ConvertedDataTypeContext,100,0,0,0,20,0,20,0,20,0
TiKV Java Client,default,MySqlParser.CaseFuncAlternativeContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.CaseFunctionCallContext,55,0,0,0,11,0,11,0,11,0
TiKV Java Client,default,MySqlParser,270,0,0,0,54,0,54,0,54,0
TiKV Java Client,default,MySqlParser.DottedIdContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.UidContext,40,0,0,0,8,0,8,0,8,0
TiKV Java Client,default,MySqlParser.NullNotnullContext,40,0,0,0,8,0,8,0,8,0
TiKV Java Client,default,MySqlLexer,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.IntervalTypeBaseContext,65,0,0,0,13,0,13,0,13,0
TiKV Java Client,default,MySqlParser.ExtractFunctionCallContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.FullColumnNameContext,40,0,0,0,8,0,8,0,8,0
TiKV Java Client,default,MySqlParser.DataTypeFunctionCallContext,55,0,0,0,11,0,11,0,11,0
TiKV Java Client,default,MySqlParser.HexadecimalLiteralContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.WeightFunctionCallContext,60,0,0,0,12,0,12,0,12,0
TiKV Java Client,default,MySqlParser.NestedRowExpressionAtomContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.CollateExpressionAtomContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.PredicateContext,20,0,0,0,3,0,4,0,4,0
TiKV Java Client,default,MySqlParser.LevelWeightListContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.FullColumnNameExpressionAtomContext,25,0,0,0,5,0,5,0,5,0
TiKV Java Client,default,MySqlParser.NestedExpressionAtomContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.MathOperatorContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.CollationNameContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.UdfFunctionCallContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.KeywordsCanBeIdContext,1400,0,0,0,280,0,280,0,280,0
TiKV Java Client,default,MySqlParser.BitExpressionAtomContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.MathExpressionAtomContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.FullIdContext,40,0,0,0,8,0,8,0,8,0
TiKV Java Client,default,MySqlParser.LevelWeightRangeContext,35,0,0,0,7,0,7,0,7,0
TiKV Java Client,default,MySqlParser.CharsetNameContext,45,0,0,0,9,0,9,0,9,0
TiKV Java Client,default,MySqlParser.ScalarFunctionCallContext,30,0,0,0,6,0,6,0,6,0
TiKV Java Client,default,MySqlParser.FunctionCallExpressionAtomContext,25,0,0,0,5,0,5,0,5,0
